KickReturns,Sacks,Season,Team,Conference,Penalties
0,28,2018,Texans,AFC,123.0
1,37,2018,Colts,AFC,117.0
1,26,2018,Jaguars,AFC,116.0
0,45,2018,Chiefs,AFC,122.0
1,33,2018,Dolphins,AFC,122.0
0,31,2018,Vikings,NFC,104.0
1,27,2018,Patriots,AFC,114.0
1,26,2018,Saints,NFC,95.0
1,25,2018,Giants,NFC,124.0
0,22,2018,Jets,AFC,118.0
0,23,2018,Raiders,AFC,96.0
0,27,2018,Eagles,NFC,126.0
0,41,2018,Steelers,AFC,110.0
1,34,2018,Chargers,AFC,118.0
0,43,2018,49ers,NFC,111.0
1,30,2018,Seahawks,NFC,123.0
1,42,2018,Rams,NFC,117.0
1,32,2018,Buccaneers,NFC,100.0
0,37,2018,Titans,AFC,93.0
1,35,2018,Commanders,NFC,119.0
1,32,2019,Cardinals,NFC,97.0
1,34,2019,Falcons,NFC,113.0
1,31,2019,Ravens,AFC,117.0
0,48,2019,Bills,AFC,102.0
1,35,2019,Panthers,AFC,113.0
0,39,2019,Bears,NFC,111.0
1,40,2019,Bengals,AFC,122.0
1,45,2019,Browns,AFC,105.0
0,48,2019,Cowboys,NFC,93.0
0,29,2019,Broncos,AFC,97.0
0,29,2019,Lions,NFC,104.0
1,31,2019,Packers,NFC,114.0
0,30,2019,Texans,AFC,115.0
1,32,2019,Colts,AFC,117.0
1,32,2019,Jaguars,AFC,105.0
1,29,2019,Chiefs,AFC,92.0
0,48,2019,Dolphins,AFC,117.0
1,32,2019,Vikings,NFC,115.0
1,45,2019,Patriots,AFC,112.0
1,48,2019,Saints,NFC,115.0
0,36,2019,Giants,NFC,119.0
0,37,2019,Jets,AFC,92.0
0,38,2019,Raiders,AFC,93.0
1,42,2019,Eagles,NFC,110.0
0,47,2019,Steelers,AFC,105.0
0,36,2019,Chargers,AFC,92.0
1,37,2019,49ers,NFC,95.0
0,43,2019,Seahawks,NFC,97.0
0,45,2019,Rams,NFC,98.0
0,46,2019,Buccaneers,NFC,111.0
0,45,2019,Titans,AFC,114.0
1,30,2019,Commanders,NFC,114.0
